source,target,weight
United States,Cyprus,7
United States,French Polynesia,4
United States,Jordan,7
United States,Swaziland,1
United States,Belgium,6
United States,Slovenia,2
United States,French Guiana,1
United States,Romania,6
United States,Portugal,7
United States,Martinique,1
United States,Canada,11
United States,Peru,3
United States,Isle of Man,1
United States,Croatia,4
United States,Liberia,3
United States,Lesotho,1
United States,Zambia,5
United States,Gabon,3
United States,Vanuatu,2
United States,Luxembourg,4
United States,Togo,1
United States,Montenegro,1
United States,Uruguay,2
United States,Benin,2
United States,Suriname,1
United States,United Arab Emirates,15
United States,Palau,2
United States,Poland,8
United States,Cayman Islands,1
United States,Guadeloupe,1
United States,Congo (Brazzaville),3
United States,Mauritius,4
United States,Panama,2
United States,Maldives,7
United States,Greece,8
United States,Israel,4
United States,Nepal,5
United States,Mexico,6
United States,Spain,8
United States,Afghanistan,2
United States,Malawi,3
United States,Cote d'Ivoire,4
United States,Mali,2
United States,Sudan,4
United States,Dominican Republic,3
United States,Virgin Islands,3
United States,Finland,5
United States,Norway,5
United States,Ethiopia,6
United States,United Kingdom,15
United States,Comoros,2
United States,Uganda,7
United States,Azerbaijan,4
United States,Indonesia,11
United States,Bangladesh,6
United States,Laos,2
United States,Bermuda,1
United States,Saudi Arabia,10
United States,Mongolia,1
United States,Algeria,6
United States,Cuba,3
United States,Burkina Faso,3
United States,Zimbabwe,6
United States,Kuwait,8
United States,Sri Lanka,7
United States,Macedonia,1
United States,Central African Republic,1
United States,Turks and Caicos Islands,1
United States,Niue,1
United States,Chad,2
United States,Cameroon,4
United States,France,11
United States,Tanzania,6
United States,Tajikistan,1
United States,Somalia,1
United States,Lithuania,2
United States,Tunisia,4
United States,Moldova,1
United States,Taiwan,7
United States,Jamaica,4
United States,Norfolk Island,1
United States,Cambodia,2
United States,Barbados,2
United States,Hungary,6
United States,Philippines,10
United States,Turkey,10
United States,Russia,11
United States,Namibia,2
United States,Guam,2
United States,South Africa,12
United States,Pakistan,6
United States,Haiti,1
United States,Argentina,6
United States,Vietnam,10
United States,Botswana,1
United States,Czech Republic,6
United States,Brazil,9
United States,Ireland,7
United States,Djibouti,3
United States,Jersey,2
United States,Mauritania,2
United States,Thailand,13
United States,Switzerland,12
United States,Papua New Guinea,1
United States,Honduras,1
United States,Sierra Leone,3
United States,Kenya,9
United States,Colombia,1
United States,Germany,15
United States,China,14
United States,Uzbekistan,1
United States,Guatemala,2
United States,Mozambique,2
United States,Ukraine,5
United States,Rwanda,5
United States,Hong Kong,15
United States,South Korea,12
United States,Qatar,10
United States,Italy,9
United States,Estonia,2
United States,Saint Kitts and Nevis,1
United States,Macau,1
United States,Netherlands,8
United States,Burma,4
United States,Costa Rica,3
United States,Saint Lucia,3
United States,Armenia,1
United States,Yemen,1
United States,Nigeria,9
United States,Senegal,4
United States,Malaysia,10
United States,Fiji,3
United States,Bosnia and Herzegovina,1
United States,Seychelles,3
United States,Samoa,1
United States,Sweden,8
United States,Puerto Rico,3
United States,Georgia,4
United States,Morocco,7
United States,Japan,14
United States,South Sudan,1
United States,Bulgaria,4
United States,Burundi,1
United States,Singapore,15
United States,Australia,14
United States,Austria,7
United States,Angola,5
United States,Netherlands Antilles,2
United States,Latvia,3
United States,Ecuador,2
United States,Malta,4
United States,Bahamas,2
United States,Iraq,4
United States,Egypt,9
United States,Tonga,1
United States,Cook Islands,1
United States,Iran,4
United States,India,13
United States,Turkmenistan,1
United States,Denmark,8
United States,Brunei,1
United States,Chile,4
United States,Madagascar,2
United States,Equatorial Guinea,3
United States,Guinea,1
United States,Ghana,5
United States,Grenada,2
United States,Kyrgyzstan,1
United States,Congo (Kinshasa),4
United States,Reunion,1
United States,Niger,3
United States,Trinidad and Tobago,1
United States,New Caledonia,2
United States,Albania,2
United States,East Timor,1
United States,Kazakhstan,4
United States,Serbia,4
United States,Antigua and Barbuda,2
United States,Mayotte,2
United States,New Zealand,4
United States,Oman,8
United States,Gibraltar,1
United States,Libya,3
United States,Aruba,1
Cote d'Ivoire,Cyprus,3
Cote d'Ivoire,French Polynesia,1
Cote d'Ivoire,Jordan,3
Cote d'Ivoire,Swaziland,1
Cote d'Ivoire,Belgium,2
Cote d'Ivoire,Slovenia,2
Cote d'Ivoire,French Guiana,1
Cote d'Ivoire,Romania,2
Cote d'Ivoire,Portugal,3
Cote d'Ivoire,Martinique,1
Cote d'Ivoire,Canada,3
Cote d'Ivoire,Peru,1
Cote d'Ivoire,Croatia,2
Cote d'Ivoire,Lesotho,1
Cote d'Ivoire,Liberia,1
Cote d'Ivoire,Zambia,3
Cote d'Ivoire,Gabon,3
Cote d'Ivoire,Luxembourg,2
Cote d'Ivoire,Togo,1
Cote d'Ivoire,Montenegro,1
Cote d'Ivoire,Uruguay,1
Cote d'Ivoire,Benin,2
Cote d'Ivoire,United Arab Emirates,4
Cote d'Ivoire,Guadeloupe,1
Cote d'Ivoire,Poland,3
Cote d'Ivoire,Palau,1
Cote d'Ivoire,Congo (Brazzaville),2
Cote d'Ivoire,Mauritius,3
Cote d'Ivoire,Maldives,2
Cote d'Ivoire,Panama,1
Cote d'Ivoire,Greece,3
Cote d'Ivoire,Israel,2
Cote d'Ivoire,Nepal,1
Cote d'Ivoire,Mexico,1
Cote d'Ivoire,Spain,3
Cote d'Ivoire,Afghanistan,2
Cote d'Ivoire,Malawi,2
Cote d'Ivoire,Mali,2
Cote d'Ivoire,Sudan,2
Cote d'Ivoire,Dominican Republic,1
Cote d'Ivoire,Virgin Islands,1
Cote d'Ivoire,Finland,2
Cote d'Ivoire,Norway,2
Cote d'Ivoire,Ethiopia,3
Cote d'Ivoire,United Kingdom,4
Cote d'Ivoire,Comoros,1
Cote d'Ivoire,Uganda,4
Cote d'Ivoire,Azerbaijan,2
Cote d'Ivoire,Indonesia,3
Cote d'Ivoire,Bangladesh,2
Cote d'Ivoire,Laos,1
Cote d'Ivoire,Saudi Arabia,3
Cote d'Ivoire,Mongolia,1
Cote d'Ivoire,Algeria,3
Cote d'Ivoire,Burkina Faso,2
Cote d'Ivoire,Cuba,1
Cote d'Ivoire,Zimbabwe,4
Cote d'Ivoire,Kuwait,4
Cote d'Ivoire,Sri Lanka,2
Cote d'Ivoire,Macedonia,1
Cote d'Ivoire,Central African Republic,1
Cote d'Ivoire,Chad,2
Cote d'Ivoire,Cameroon,3
Cote d'Ivoire,France,3
Cote d'Ivoire,Tanzania,4
Cote d'Ivoire,Tajikistan,1
Cote d'Ivoire,Somalia,1
Cote d'Ivoire,Lithuania,1
Cote d'Ivoire,Moldova,1
Cote d'Ivoire,Tunisia,3
Cote d'Ivoire,Taiwan,2
Cote d'Ivoire,Jamaica,1
Cote d'Ivoire,Cambodia,1
Cote d'Ivoire,Hungary,2
Cote d'Ivoire,Philippines,2
Cote d'Ivoire,Turkey,3
Cote d'Ivoire,Russia,3
Cote d'Ivoire,Namibia,1
Cote d'Ivoire,South Africa,4
Cote d'Ivoire,Pakistan,2
Cote d'Ivoire,Haiti,1
Cote d'Ivoire,Argentina,3
Cote d'Ivoire,Vietnam,3
Cote d'Ivoire,Botswana,1
Cote d'Ivoire,Brazil,4
Cote d'Ivoire,Czech Republic,3
Cote d'Ivoire,Ireland,3
Cote d'Ivoire,Djibouti,2
Cote d'Ivoire,Jersey,1
Cote d'Ivoire,Mauritania,2
Cote d'Ivoire,Thailand,4
Cote d'Ivoire,Switzerland,4
Cote d'Ivoire,Sierra Leone,1
Cote d'Ivoire,Kenya,4
Cote d'Ivoire,Colombia,1
Cote d'Ivoire,Germany,4
Cote d'Ivoire,China,3
Cote d'Ivoire,Uzbekistan,1
Cote d'Ivoire,Guatemala,1
Cote d'Ivoire,Mozambique,1
Cote d'Ivoire,Ukraine,3
Cote d'Ivoire,Rwanda,3
Cote d'Ivoire,Hong Kong,4
Cote d'Ivoire,Qatar,3
Cote d'Ivoire,Italy,3
Cote d'Ivoire,South Korea,3
Cote d'Ivoire,Estonia,1
Cote d'Ivoire,Netherlands,3
Cote d'Ivoire,Costa Rica,1
Cote d'Ivoire,Armenia,1
Cote d'Ivoire,Saint Lucia,1
Cote d'Ivoire,Yemen,1
Cote d'Ivoire,Nigeria,4
Cote d'Ivoire,Senegal,4
Cote d'Ivoire,Malaysia,3
Cote d'Ivoire,Bosnia and Herzegovina,1
Cote d'Ivoire,Seychelles,2
Cote d'Ivoire,Sweden,3
Cote d'Ivoire,Puerto Rico,1
Cote d'Ivoire,Georgia,2
Cote d'Ivoire,Morocco,3
Cote d'Ivoire,South Sudan,1
Cote d'Ivoire,Japan,3
Cote d'Ivoire,Bulgaria,2
Cote d'Ivoire,Singapore,4
Cote d'Ivoire,Australia,4
Cote d'Ivoire,Austria,3
Cote d'Ivoire,Angola,3
Cote d'Ivoire,Netherlands Antilles,1
Cote d'Ivoire,Latvia,2
Cote d'Ivoire,Malta,3
Cote d'Ivoire,Ecuador,1
Cote d'Ivoire,Bahamas,1
Cote d'Ivoire,Iraq,2
Cote d'Ivoire,Egypt,4
Cote d'Ivoire,Iran,2
Cote d'Ivoire,India,4
Cote d'Ivoire,Turkmenistan,1
Cote d'Ivoire,Denmark,3
Cote d'Ivoire,Chile,1
Cote d'Ivoire,Madagascar,2
Cote d'Ivoire,Equatorial Guinea,2
Cote d'Ivoire,Guinea,1
Cote d'Ivoire,Ghana,3
Cote d'Ivoire,Kyrgyzstan,1
Cote d'Ivoire,Congo (Kinshasa),3
Cote d'Ivoire,Reunion,1
Cote d'Ivoire,Niger,2
Cote d'Ivoire,Albania,1
Cote d'Ivoire,Kazakhstan,1
Cote d'Ivoire,Serbia,2
Cote d'Ivoire,Mayotte,1
Cote d'Ivoire,New Zealand,1
Cote d'Ivoire,Oman,3
Cote d'Ivoire,Libya,2
Nigeria,Cyprus,7
Nigeria,French Polynesia,1
Nigeria,Jordan,6
Nigeria,Swaziland,1
Nigeria,Belgium,6
Nigeria,Slovenia,2
Nigeria,French Guiana,1
Nigeria,Romania,6
Nigeria,Portugal,6
Nigeria,Martinique,1
Nigeria,Canada,7
Nigeria,Peru,2
Nigeria,Isle of Man,1
Nigeria,Croatia,4
Nigeria,Liberia,3
Nigeria,Lesotho,1
Nigeria,Zambia,5
Nigeria,Gabon,3
Nigeria,Luxembourg,4
Nigeria,Togo,1
Nigeria,Montenegro,1
Nigeria,Uruguay,2
Nigeria,Benin,2
Nigeria,Suriname,1
Nigeria,United Arab Emirates,9
Nigeria,Cayman Islands,1
Nigeria,Poland,6
Nigeria,Guadeloupe,1
Nigeria,Palau,1
Nigeria,Congo (Brazzaville),3
Nigeria,Mauritius,4
Nigeria,Panama,2
Nigeria,Maldives,5
Nigeria,Greece,7
Nigeria,Israel,4
Nigeria,Nepal,3
Nigeria,Mexico,5
Nigeria,Spain,6
Nigeria,Afghanistan,2
Nigeria,Malawi,3
Nigeria,Mali,2
Nigeria,Sudan,4
Nigeria,Dominican Republic,3
Nigeria,Virgin Islands,3
Nigeria,Finland,4
Nigeria,Norway,5
Nigeria,Ethiopia,5
Nigeria,United Kingdom,9
Nigeria,Comoros,2
Nigeria,Uganda,7
Nigeria,Azerbaijan,4
Nigeria,Indonesia,6
Nigeria,Bangladesh,4
Nigeria,Laos,2
Nigeria,Bermuda,1
Nigeria,Saudi Arabia,7
Nigeria,Mongolia,1
Nigeria,Algeria,6
Nigeria,Cuba,3
Nigeria,Burkina Faso,3
Nigeria,Zimbabwe,6
Nigeria,Kuwait,8
Nigeria,Sri Lanka,5
Nigeria,Macedonia,1
Nigeria,Central African Republic,1
Nigeria,Turks and Caicos Islands,1
Nigeria,Chad,2
Nigeria,Cameroon,4
Nigeria,France,7
Nigeria,Tanzania,6
Nigeria,Tajikistan,1
Nigeria,Somalia,1
Nigeria,Lithuania,2
Nigeria,Tunisia,4
Nigeria,Moldova,1
Nigeria,Taiwan,3
Nigeria,Jamaica,4
Nigeria,Cambodia,1
Nigeria,Barbados,2
Nigeria,Hungary,6
Nigeria,Philippines,5
Nigeria,Turkey,7
Nigeria,Russia,8
Nigeria,Namibia,2
Nigeria,South Africa,9
Nigeria,Pakistan,5
Nigeria,Haiti,1
Nigeria,Argentina,6
Nigeria,Vietnam,5
Nigeria,Botswana,1
Nigeria,Brazil,8
Nigeria,Czech Republic,5
Nigeria,Ireland,6
Nigeria,Djibouti,3
Nigeria,Jersey,2
Nigeria,Mauritania,2
Nigeria,Thailand,8
Nigeria,Switzerland,8
Nigeria,Honduras,1
Nigeria,Sierra Leone,3
Nigeria,Kenya,8
Nigeria,Colombia,1
Nigeria,China,8
Nigeria,Germany,9
Nigeria,Uzbekistan,1
Nigeria,Guatemala,2
Nigeria,Mozambique,2
Nigeria,Ukraine,5
Nigeria,Rwanda,5
Nigeria,Hong Kong,9
Nigeria,Qatar,7
Nigeria,Italy,7
Nigeria,South Korea,7
Nigeria,Estonia,2
Nigeria,Saint Kitts and Nevis,1
Nigeria,Netherlands,6
Nigeria,Burma,2
Nigeria,Costa Rica,3
Nigeria,Saint Lucia,3
Nigeria,Armenia,1
Nigeria,Yemen,1
Nigeria,Senegal,4
Nigeria,Malaysia,6
Nigeria,Bosnia and Herzegovina,1
Nigeria,Seychelles,3
Nigeria,Sweden,7
Nigeria,Puerto Rico,3
Nigeria,Georgia,4
Nigeria,Morocco,7
Nigeria,Japan,8
Nigeria,South Sudan,1
Nigeria,Bulgaria,4
Nigeria,Burundi,1
Nigeria,Singapore,9
Nigeria,Australia,9
Nigeria,Austria,6
Nigeria,Angola,5
Nigeria,Netherlands Antilles,2
Nigeria,Latvia,3
Nigeria,Ecuador,2
Nigeria,Malta,4
Nigeria,Bahamas,2
Nigeria,Iraq,4
Nigeria,Egypt,8
Nigeria,Iran,4
Nigeria,India,9
Nigeria,Turkmenistan,1
Nigeria,Denmark,6
Nigeria,Chile,2
Nigeria,Madagascar,2
Nigeria,Equatorial Guinea,3
Nigeria,Guinea,1
Nigeria,Ghana,5
Nigeria,Grenada,2
Nigeria,Kyrgyzstan,1
Nigeria,Congo (Kinshasa),4
Nigeria,Reunion,1
Nigeria,Niger,3
Nigeria,Trinidad and Tobago,1
Nigeria,Albania,2
Nigeria,Kazakhstan,4
Nigeria,Serbia,4
Nigeria,Antigua and Barbuda,2
Nigeria,Mayotte,2
Nigeria,New Zealand,1
Nigeria,Oman,7
Nigeria,Gibraltar,1
Nigeria,Libya,3
Nigeria,Aruba,1
United Kingdom,Cyprus,7
United Kingdom,French Polynesia,4
United Kingdom,Jordan,7
United Kingdom,Swaziland,1
United Kingdom,Belgium,6
United Kingdom,Slovenia,2
United Kingdom,French Guiana,1
United Kingdom,Romania,6
United Kingdom,Portugal,7
United Kingdom,Martinique,1
United Kingdom,Canada,11
United Kingdom,Peru,3
United Kingdom,Isle of Man,1
United Kingdom,Croatia,4
United Kingdom,Liberia,3
United Kingdom,Lesotho,1
United Kingdom,Zambia,5
United Kingdom,Gabon,3
United Kingdom,Vanuatu,2
United Kingdom,Luxembourg,4
United Kingdom,Togo,1
United Kingdom,Montenegro,1
United Kingdom,Uruguay,2
United Kingdom,Benin,2
United Kingdom,Suriname,1
United Kingdom,United Arab Emirates,15
United Kingdom,Palau,2
United Kingdom,Poland,8
United Kingdom,Cayman Islands,1
United Kingdom,Guadeloupe,1
United Kingdom,Congo (Brazzaville),3
United Kingdom,Mauritius,4
United Kingdom,Panama,2
United Kingdom,Maldives,7
United Kingdom,Greece,8
United Kingdom,Israel,4
United Kingdom,Nepal,5
United Kingdom,Mexico,6
United Kingdom,Spain,8
United Kingdom,Afghanistan,2
United Kingdom,Malawi,3
United Kingdom,Mali,2
United Kingdom,Sudan,4
United Kingdom,Dominican Republic,3
United Kingdom,Virgin Islands,3
United Kingdom,Finland,5
United Kingdom,Norway,5
United Kingdom,Ethiopia,6
United Kingdom,Comoros,2
United Kingdom,Uganda,7
United Kingdom,Azerbaijan,4
United Kingdom,Indonesia,11
United Kingdom,Bangladesh,6
United Kingdom,Laos,2
United Kingdom,Bermuda,1
United Kingdom,Saudi Arabia,10
United Kingdom,Mongolia,1
United Kingdom,Algeria,6
United Kingdom,Cuba,3
United Kingdom,Burkina Faso,3
United Kingdom,Zimbabwe,6
United Kingdom,Kuwait,8
United Kingdom,Sri Lanka,7
United Kingdom,Macedonia,1
United Kingdom,Central African Republic,1
United Kingdom,Turks and Caicos Islands,1
United Kingdom,Niue,1
United Kingdom,Chad,2
United Kingdom,Cameroon,4
United Kingdom,France,11
United Kingdom,Tanzania,6
United Kingdom,Tajikistan,1
United Kingdom,Somalia,1
United Kingdom,Lithuania,2
United Kingdom,Tunisia,4
United Kingdom,Moldova,1
United Kingdom,Taiwan,7
United Kingdom,Jamaica,4
United Kingdom,Norfolk Island,1
United Kingdom,Cambodia,2
United Kingdom,Barbados,2
United Kingdom,Hungary,6
United Kingdom,Philippines,10
United Kingdom,Turkey,10
United Kingdom,Russia,11
United Kingdom,Namibia,2
United Kingdom,Guam,2
United Kingdom,South Africa,12
United Kingdom,Pakistan,6
United Kingdom,Haiti,1
United Kingdom,Argentina,6
United Kingdom,Vietnam,10
United Kingdom,Botswana,1
United Kingdom,Czech Republic,6
United Kingdom,Brazil,9
United Kingdom,Ireland,7
United Kingdom,Djibouti,3
United Kingdom,Jersey,2
United Kingdom,Mauritania,2
United Kingdom,Thailand,13
United Kingdom,Switzerland,12
United Kingdom,Papua New Guinea,1
United Kingdom,Honduras,1
United Kingdom,Sierra Leone,3
United Kingdom,Kenya,9
United Kingdom,Colombia,1
United Kingdom,Germany,15
United Kingdom,China,14
United Kingdom,Uzbekistan,1
United Kingdom,Guatemala,2
United Kingdom,Mozambique,2
United Kingdom,Ukraine,5
United Kingdom,Rwanda,5
United Kingdom,Hong Kong,15
United Kingdom,South Korea,12
United Kingdom,Qatar,10
United Kingdom,Italy,9
United Kingdom,Estonia,2
United Kingdom,Saint Kitts and Nevis,1
United Kingdom,Macau,1
United Kingdom,Netherlands,8
United Kingdom,Burma,4
United Kingdom,Costa Rica,3
United Kingdom,Saint Lucia,3
United Kingdom,Armenia,1
United Kingdom,Yemen,1
United Kingdom,Senegal,4
United Kingdom,Malaysia,10
United Kingdom,Fiji,3
United Kingdom,Bosnia and Herzegovina,1
United Kingdom,Seychelles,3
United Kingdom,Samoa,1
United Kingdom,Sweden,8
United Kingdom,Puerto Rico,3
United Kingdom,Georgia,4
United Kingdom,Morocco,7
United Kingdom,Japan,14
United Kingdom,South Sudan,1
United Kingdom,Bulgaria,4
United Kingdom,Burundi,1
United Kingdom,Singapore,15
United Kingdom,Australia,14
United Kingdom,Austria,7
United Kingdom,Angola,5
United Kingdom,Netherlands Antilles,2
United Kingdom,Latvia,3
United Kingdom,Ecuador,2
United Kingdom,Malta,4
United Kingdom,Bahamas,2
United Kingdom,Iraq,4
United Kingdom,Egypt,9
United Kingdom,Tonga,1
United Kingdom,Cook Islands,1
United Kingdom,Iran,4
United Kingdom,India,13
United Kingdom,Turkmenistan,1
United Kingdom,Denmark,8
United Kingdom,Brunei,1
United Kingdom,Chile,4
United Kingdom,Madagascar,2
United Kingdom,Equatorial Guinea,3
United Kingdom,Guinea,1
United Kingdom,Ghana,5
United Kingdom,Grenada,2
United Kingdom,Kyrgyzstan,1
United Kingdom,Congo (Kinshasa),4
United Kingdom,Reunion,1
United Kingdom,Niger,3
United Kingdom,Trinidad and Tobago,1
United Kingdom,New Caledonia,2
United Kingdom,Albania,2
United Kingdom,East Timor,1
United Kingdom,Kazakhstan,4
United Kingdom,Serbia,4
United Kingdom,Antigua and Barbuda,2
United Kingdom,Mayotte,2
United Kingdom,New Zealand,4
United Kingdom,Oman,8
United Kingdom,Gibraltar,1
United Kingdom,Libya,3
United Kingdom,Aruba,1
Spain,Cyprus,6
Spain,French Polynesia,1
Spain,Jordan,5
Spain,Belgium,5
Spain,Slovenia,2
Spain,French Guiana,1
Spain,Romania,5
Spain,Portugal,5
Spain,Martinique,1
Spain,Canada,7
Spain,Peru,2
Spain,Isle of Man,1
Spain,Croatia,4
Spain,Liberia,3
Spain,Zambia,4
Spain,Gabon,2
Spain,Luxembourg,4
Spain,Togo,1
Spain,Montenegro,1
Spain,Uruguay,2
Spain,Benin,1
Spain,Suriname,1
Spain,United Arab Emirates,8
Spain,Cayman Islands,1
Spain,Poland,6
Spain,Guadeloupe,1
Spain,Palau,1
Spain,Congo (Brazzaville),2
Spain,Mauritius,3
Spain,Panama,2
Spain,Maldives,6
Spain,Greece,7
Spain,Israel,4
Spain,Nepal,4
Spain,Mexico,4
Spain,Afghanistan,2
Spain,Malawi,2
Spain,Mali,1
Spain,Sudan,3
Spain,Dominican Republic,3
Spain,Virgin Islands,3
Spain,Finland,4
Spain,Norway,5
Spain,Ethiopia,5
Spain,Comoros,2
Spain,Uganda,6
Spain,Azerbaijan,4
Spain,Indonesia,7
Spain,Bangladesh,5
Spain,Laos,1
Spain,Bermuda,1
Spain,Saudi Arabia,8
Spain,Mongolia,1
Spain,Algeria,6
Spain,Cuba,2
Spain,Burkina Faso,3
Spain,Zimbabwe,5
Spain,Kuwait,6
Spain,Sri Lanka,6
Spain,Macedonia,1
Spain,Central African Republic,1
Spain,Turks and Caicos Islands,1
Spain,Chad,2
Spain,Cameroon,3
Spain,France,8
Spain,Tanzania,5
Spain,Tajikistan,1
Spain,Somalia,1
Spain,Lithuania,2
Spain,Tunisia,4
Spain,Moldova,1
Spain,Taiwan,5
Spain,Jamaica,3
Spain,Cambodia,2
Spain,Barbados,1
Spain,Hungary,5
Spain,Philippines,6
Spain,Turkey,7
Spain,Russia,8
Spain,Namibia,1
Spain,South Africa,8
Spain,Pakistan,5
Spain,Haiti,1
Spain,Argentina,6
Spain,Vietnam,6
Spain,Brazil,7
Spain,Czech Republic,5
Spain,Ireland,5
Spain,Djibouti,3
Spain,Jersey,2
Spain,Mauritania,2
Spain,Thailand,8
Spain,Switzerland,8
Spain,Honduras,1
Spain,Sierra Leone,3
Spain,Kenya,6
Spain,Colombia,1
Spain,China,8
Spain,Germany,8
Spain,Uzbekistan,1
Spain,Guatemala,2
Spain,Mozambique,1
Spain,Ukraine,5
Spain,Rwanda,4
Spain,Hong Kong,8
Spain,Qatar,7
Spain,Italy,8
Spain,South Korea,8
Spain,Estonia,2
Spain,Saint Kitts and Nevis,1
Spain,Netherlands,7
Spain,Burma,2
Spain,Costa Rica,3
Spain,Saint Lucia,2
Spain,Armenia,1
Spain,Yemen,1
Spain,Senegal,3
Spain,Malaysia,7
Spain,Bosnia and Herzegovina,1
Spain,Fiji,1
Spain,Seychelles,1
Spain,Sweden,6
Spain,Puerto Rico,2
Spain,Georgia,4
Spain,Morocco,6
Spain,Japan,8
Spain,South Sudan,1
Spain,Bulgaria,4
Spain,Burundi,1
Spain,Singapore,8
Spain,Australia,8
Spain,Austria,6
Spain,Angola,4
Spain,Netherlands Antilles,2
Spain,Latvia,3
Spain,Ecuador,2
Spain,Malta,4
Spain,Bahamas,2
Spain,Iraq,3
Spain,Egypt,7
Spain,Iran,3
Spain,India,8
Spain,Turkmenistan,1
Spain,Denmark,7
Spain,Brunei,1
Spain,Chile,2
Spain,Guinea,1
Spain,Equatorial Guinea,3
Spain,Madagascar,1
Spain,Ghana,4
Spain,Grenada,1
Spain,Kyrgyzstan,1
Spain,Congo (Kinshasa),3
Spain,Reunion,1
Spain,Niger,3
Spain,Trinidad and Tobago,1
Spain,Albania,2
Spain,Kazakhstan,3
Spain,Serbia,3
Spain,Antigua and Barbuda,1
Spain,Mayotte,2
Spain,New Zealand,2
Spain,Oman,6
Spain,Gibraltar,1
Spain,Libya,3
Spain,Aruba,1
France,Cyprus,7
France,French Polynesia,2
France,Jordan,6
France,Belgium,6
France,Slovenia,2
France,French Guiana,1
France,Romania,6
France,Portugal,7
France,Martinique,1
France,Canada,10
France,Peru,3
France,Isle of Man,1
France,Croatia,4
France,Liberia,3
France,Zambia,4
France,Gabon,2
France,Luxembourg,4
France,Togo,1
France,Montenegro,1
France,Uruguay,2
France,Benin,1
France,Suriname,1
France,United Arab Emirates,11
France,Palau,2
France,Poland,7
France,Cayman Islands,1
France,Guadeloupe,1
France,Congo (Brazzaville),2
France,Mauritius,3
France,Panama,2
France,Maldives,7
France,Greece,8
France,Israel,4
France,Nepal,5
France,Mexico,4
France,Afghanistan,2
France,Malawi,2
France,Mali,1
France,Sudan,4
France,Dominican Republic,3
France,Virgin Islands,3
France,Finland,5
France,Norway,5
France,Ethiopia,5
France,Comoros,2
France,Uganda,6
France,Azerbaijan,4
France,Indonesia,10
France,Bangladesh,6
France,Laos,2
France,Bermuda,1
France,Saudi Arabia,9
France,Mongolia,1
France,Algeria,6
France,Cuba,2
France,Burkina Faso,3
France,Zimbabwe,5
France,Kuwait,7
France,Sri Lanka,7
France,Macedonia,1
France,Central African Republic,1
France,Turks and Caicos Islands,1
France,Chad,2
France,Cameroon,3
France,Tanzania,5
France,Tajikistan,1
France,Somalia,1
France,Lithuania,2
France,Tunisia,4
France,Moldova,1
France,Taiwan,7
France,Jamaica,3
France,Cambodia,2
France,Barbados,1
France,Hungary,6
France,Philippines,9
France,Turkey,9
France,Russia,10
France,Namibia,1
France,South Africa,9
France,Guam,2
France,Pakistan,6
France,Haiti,1
France,Argentina,6
France,Vietnam,9
France,Brazil,8
France,Czech Republic,5
France,Ireland,6
France,Djibouti,3
France,Jersey,2
France,Mauritania,2
France,Thailand,11
France,Switzerland,10
France,Honduras,1
France,Sierra Leone,3
France,Kenya,7
France,Colombia,1
France,China,11
France,Germany,11
France,Uzbekistan,1
France,Guatemala,2
France,Mozambique,1
France,Ukraine,5
France,Rwanda,4
France,Hong Kong,11
France,Qatar,10
France,South Korea,11
France,Italy,9
France,Estonia,2
France,Saint Kitts and Nevis,1
France,Macau,1
France,Netherlands,8
France,Burma,4
France,Costa Rica,3
France,Saint Lucia,2
France,Armenia,1
France,Yemen,1
France,Senegal,3
France,Malaysia,9
France,Bosnia and Herzegovina,1
France,Fiji,1
France,Seychelles,2
France,Sweden,7
France,Puerto Rico,2
France,Georgia,4
France,Morocco,7
France,Japan,11
France,South Sudan,1
France,Bulgaria,4
France,Burundi,1
France,Singapore,11
France,Australia,10
France,Austria,7
France,Angola,4
France,Netherlands Antilles,2
France,Latvia,3
France,Ecuador,2
France,Malta,4
France,Bahamas,2
France,Iraq,4
France,Egypt,8
France,Iran,4
France,India,11
France,Turkmenistan,1
France,Denmark,7
France,Brunei,1
France,Chile,3
France,Guinea,1
France,Equatorial Guinea,3
France,Madagascar,1
France,Ghana,4
France,Grenada,1
France,Kyrgyzstan,1
France,Congo (Kinshasa),3
France,Reunion,1
France,Niger,3
France,Trinidad and Tobago,1
France,Albania,2
France,Kazakhstan,4
France,Serbia,4
France,Antigua and Barbuda,1
France,Mayotte,2
France,New Zealand,2
France,Oman,7
France,Gibraltar,1
France,Libya,3
France,Aruba,1
Algeria,Cyprus,6
Algeria,French Polynesia,1
Algeria,Jordan,5
Algeria,Belgium,5
Algeria,Slovenia,2
Algeria,French Guiana,1
Algeria,Romania,5
Algeria,Portugal,5
Algeria,Martinique,1
Algeria,Canada,6
Algeria,Peru,2
Algeria,Isle of Man,1
Algeria,Croatia,4
Algeria,Liberia,3
Algeria,Zambia,4
Algeria,Gabon,2
Algeria,Luxembourg,4
Algeria,Togo,1
Algeria,Montenegro,1
Algeria,Uruguay,2
Algeria,Benin,1
Algeria,Suriname,1
Algeria,United Arab Emirates,6
Algeria,Cayman Islands,1
Algeria,Poland,6
Algeria,Guadeloupe,1
Algeria,Palau,1
Algeria,Congo (Brazzaville),2
Algeria,Mauritius,3
Algeria,Panama,2
Algeria,Maldives,4
Algeria,Greece,6
Algeria,Israel,4
Algeria,Nepal,2
Algeria,Mexico,4
Algeria,Afghanistan,2
Algeria,Malawi,2
Algeria,Mali,1
Algeria,Sudan,3
